Tue  4 Apr 06:18:22 BST 2017
PING www.karibcable.com (208.94.176.10) 56(84) bytes of data.
64 bytes from 208.94.176.10: icmp_seq=34 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=35 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=36 ttl=109 time=159 ms
64 bytes from 208.94.176.10: icmp_seq=37 ttl=109 time=159 ms
64 bytes from 208.94.176.10: icmp_seq=38 ttl=109 time=158 ms
64 bytes from 208.94.176.10: icmp_seq=39 ttl=109 time=158 ms
64 bytes from 208.94.176.10: icmp_seq=40 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=41 ttl=109 time=159 ms
64 bytes from 208.94.176.10: icmp_seq=42 ttl=109 time=159 ms
64 bytes from 208.94.176.10: icmp_seq=43 ttl=109 time=158 ms
64 bytes from 208.94.176.10: icmp_seq=44 ttl=109 time=158 ms
64 bytes from 208.94.176.10: icmp_seq=45 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=46 ttl=109 time=159 ms
64 bytes from 208.94.176.10: icmp_seq=47 ttl=109 time=159 ms
64 bytes from 208.94.176.10: icmp_seq=48 ttl=109 time=158 ms
64 bytes from 208.94.176.10: icmp_seq=49 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=50 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=51 ttl=109 time=159 ms
64 bytes from 208.94.176.10: icmp_seq=52 ttl=109 time=158 ms
64 bytes from 208.94.176.10: icmp_seq=53 ttl=109 time=158 ms
64 bytes from 208.94.176.10: icmp_seq=54 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=55 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=56 ttl=109 time=159 ms
64 bytes from 208.94.176.10: icmp_seq=57 ttl=109 time=159 ms
64 bytes from 208.94.176.10: icmp_seq=58 ttl=109 time=158 ms
64 bytes from 208.94.176.10: icmp_seq=59 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=60 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=61 ttl=109 time=159 ms
64 bytes from 208.94.176.10: icmp_seq=62 ttl=109 time=159 ms
64 bytes from 208.94.176.10: icmp_seq=63 ttl=109 time=158 ms
64 bytes from 208.94.176.10: icmp_seq=64 ttl=109 time=158 ms
64 bytes from 208.94.176.10: icmp_seq=65 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=66 ttl=109 time=159 ms
64 bytes from 208.94.176.10: icmp_seq=67 ttl=109 time=159 ms
64 bytes from 208.94.176.10: icmp_seq=68 ttl=109 time=158 ms
64 bytes from 208.94.176.10: icmp_seq=69 ttl=109 time=158 ms
64 bytes from 208.94.176.10: icmp_seq=70 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=71 ttl=109 time=160 ms
64 bytes from 208.94.176.10: icmp_seq=72 ttl=109 time=159 ms
64 bytes from 208.94.176.10: icmp_seq=73 ttl=109 time=158 ms
64 bytes from 208.94.176.10: icmp_seq=74 ttl=109 time=158 ms
64 bytes from 208.94.176.10: icmp_seq=75 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=76 ttl=109 time=160 ms
64 bytes from 208.94.176.10: icmp_seq=77 ttl=109 time=159 ms
64 bytes from 208.94.176.10: icmp_seq=78 ttl=109 time=159 ms
64 bytes from 208.94.176.10: icmp_seq=79 ttl=109 time=158 ms
64 bytes from 208.94.176.10: icmp_seq=80 ttl=109 time=158 ms
64 bytes from 208.94.176.10: icmp_seq=81 ttl=109 time=160 ms
64 bytes from 208.94.176.10: icmp_seq=82 ttl=109 time=159 ms
64 bytes from 208.94.176.10: icmp_seq=83 ttl=109 time=158 ms
64 bytes from 208.94.176.10: icmp_seq=84 ttl=109 time=158 ms
64 bytes from 208.94.176.10: icmp_seq=85 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=86 ttl=109 time=159 ms
64 bytes from 208.94.176.10: icmp_seq=87 ttl=109 time=159 ms
64 bytes from 208.94.176.10: icmp_seq=88 ttl=109 time=158 ms
64 bytes from 208.94.176.10: icmp_seq=89 ttl=109 time=158 ms
64 bytes from 208.94.176.10: icmp_seq=90 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=91 ttl=109 time=159 ms
64 bytes from 208.94.176.10: icmp_seq=92 ttl=109 time=159 ms
64 bytes from 208.94.176.10: icmp_seq=93 ttl=109 time=158 ms
64 bytes from 208.94.176.10: icmp_seq=94 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=95 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=96 ttl=109 time=160 ms
64 bytes from 208.94.176.10: icmp_seq=97 ttl=109 time=159 ms
64 bytes from 208.94.176.10: icmp_seq=98 ttl=109 time=159 ms
64 bytes from 208.94.176.10: icmp_seq=99 ttl=109 time=158 ms
64 bytes from 208.94.176.10: icmp_seq=100 ttl=109 time=157 ms

--- www.karibcable.com ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99331ms
rtt min/avg/max/mdev = 156.687/158.574/160.481/0.979 ms



Tue  4 Apr 12:18:24 BST 2017
PING www.karibcable.com (208.94.176.10) 56(84) bytes of data.
64 bytes from 208.94.176.10: icmp_seq=1 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=2 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=3 ttl=109 time=123 ms
64 bytes from 208.94.176.10: icmp_seq=4 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=5 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=6 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=7 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=8 ttl=109 time=122 ms
64 bytes from 208.94.176.10: icmp_seq=9 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=10 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=11 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=12 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=13 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=14 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=15 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=16 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=17 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=18 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=19 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=20 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=21 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=22 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=23 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=24 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=25 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=26 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=27 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=28 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=29 ttl=109 time=156 ms
64 bytes from 208.94.176.10: icmp_seq=30 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=31 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=32 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=33 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=34 ttl=109 time=156 ms
64 bytes from 208.94.176.10: icmp_seq=35 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=36 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=37 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=38 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=39 ttl=109 time=156 ms
64 bytes from 208.94.176.10: icmp_seq=40 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=41 ttl=109 time=157 ms
64 bytes from 208.94.176.10: icmp_seq=42 ttl=109 time=157 ms
